360安全卫士极速2025 | 15.0.3.1004 | 360安全中心
7-Zip 23.01 (x64) | 23.01 | Igor Pavlov
ACA & MEP 2021 Object Enabler | 8.3.51.0 | Autodesk
ACAD Private | 24.0.47.0 | Autodesk
Adobe Flash Player 34 ActiveX | 34.0.0.325 | Adobe
Adobe Flash Player 34 PPAPI | 34.0.0.325 | Adobe
Anaconda3 2024.10-1 (Python 3.12.7 64-bit) | 2024.10-1 | Anaconda, Inc.
Apple Mobile Device Support | 18.5.0.13 | Apple Inc.
Application Verifier x64 External Package (DesktopEditions) | 10.1.26100.6584 | Microsoft
Application Verifier x64 External Package (OnecoreUAP) | 10.1.26100.6584 | Microsoft
aTrust | 2.4.10.40 | Sangfor Technologies
Audacity 3.6.3 | 3.6.3 | Audacity Team
AutoCAD 2021 | 24.0.47.0 | Autodesk
AutoCAD 2021 Language Pack - Simplified Chinese | 24.0.47.0 | Autodesk
Autodesk App Manager 2020-2021 | 3.1.0 | Autodesk
Autodesk Genuine Service | 3.2.18 | Autodesk
Autodesk Material Library 2021 | 19.1.22.0 | Autodesk
Autodesk Material Library Base Resolution Image Library 2021 | 19.1.22.0 | Autodesk
Autodesk Single Sign On Component | 11.2.0.1802 | Autodesk
Autodesk 保存到 Web 和 Mobile | 3.0.26 | Autodesk
Autodesk 精选应用 2020-2021 | 3.1.0 | Autodesk
Autodesk 桌面应用程序 | 7.0.21.17 | Autodesk
Bonjour | 3.1.0.1 | Apple Inc.
Cisco Packet Tracer 7.3.0 64Bit |  | Cisco Systems, Inc.
ClickOnce Bootstrapper Package for Microsoft .NET Framework | 4.8.09256 | Microsoft Corporation
cpolar | 3.3.18 | cpolar
CrystalDiskMark 8.0.1 | 8.0.1 | Crystal Dew World
Cursor (User) | 0.47.8 | Anysphere
DiagnosticsHub_CollectionService | 17.14.36412 | Microsoft Corporation
Digilent Software | 1.4.6 | Digilent, Inc.
DiskInternals Linux Reader | 4.24.1 | DiskInternals Research
DLL错误修复工具 | 1.0.6.0 | 武汉网幂科技有限公司
Docker Desktop | 4.39.0 | Docker Inc.
Entity Framework 6.5.0 Tools  for Visual Studio 2022 | 6.5.0.0 | Microsoft Corporation
ESP-IDF Tools Offline 5.3.2 | 5.3.2 | Espressif Systems (Shanghai) Co. Ltd.
FlashCenter | 3.7.1.9 | Chongqing Zhongcheng Network Technology Co., Ltd
Git | 2.47.1 | The Git Development Community
gnuplot 6.0 patchlevel 2 | 6.0 patchlevel 2 | gnuplot development team
Google Chrome | 146.0.7680.165 | Google LLC
IBM SPSS Statistics 27 | 27.0.1.0 | IBM Corp
icecap_collection_neutral | 17.14.36015 | Microsoft Corporation
icecap_collection_x64 | 17.14.36015 | Microsoft Corporation
icecap_collectionresources | 17.14.36015 | Microsoft Corporation
icecap_collectionresourcesx64 | 17.14.36015 | Microsoft Corporation
IntelliJ IDEA 2024.3.4 | 243.25659.39 | JetBrains s.r.o.
IntelliTraceProfilerProxy | 15.0.21225.01 | Microsoft Corporation
Java 8 Update 421 (64-bit) | 8.0.4210.9 | Oracle Corporation
Java Auto Updater | 2.8.421.9 | Oracle Corporation
Java(TM) SE Development Kit 17.0.14 (64-bit) | 17.0.14.0 | Oracle Corporation
Keil μVision4 | 5.24.2.0 | ARM Ltd
Kits Configuration Installer | 10.1.22621.5040 | Microsoft
Lenovo Smart Appearance Components | 2.3.17.0 | Lenovo
LenovoBaiying version 1.0.22 | 1.0.22 | LenovoBaiying
Mentor Graphics Products | 5.4-015 | Mentor Graphics Corporation
Microsoft .NET 8.0 Templates 8.0.415 (x64) | 32.13.57780 | Microsoft Corporation
Microsoft .NET 9.0 Templates 9.0.306 (x64) | 36.11.57780 | Microsoft Corporation
Microsoft .NET AppHost Pack - 8.0.21 (x64) | 64.84.40925 | Microsoft Corporation
Microsoft .NET AppHost Pack - 8.0.21 (x64_arm64) | 64.84.40925 | Microsoft Corporation
Microsoft .NET AppHost Pack - 8.0.21 (x64_x86) | 64.84.40925 | Microsoft Corporation
Microsoft .NET AppHost Pack - 9.0.10 (x64) | 72.40.40927 | Microsoft Corporation
Microsoft .NET AppHost Pack - 9.0.10 (x64_arm64) | 72.40.40927 | Microsoft Corporation
Microsoft .NET AppHost Pack - 9.0.10 (x64_x86) | 72.40.40927 | Microsoft Corporation
